scenario,pm_mean,pm_std,pm_n,pm_min,pm_max,pm_cv,ci_halfwidth,ci_precision,ci_lower,ci_upper,unit,pm
5,0.19513152758816235,0.031271581493212165,15,0.1428571428571428,0.2517761989342806,0.16025898981948652,0.01731762460647535,0.08874847043182746,0.177813902981687,0.2124491521946377,pp,pct_blocked_by_pp
6,0.06289718761167087,0.01310650975356902,15,0.0377448638318203,0.0879222582137899,0.20837990141131596,0.007258143175863463,0.11539694303464658,0.05563904443580741,0.07015533078753433,pp,pct_blocked_by_pp
7,0.19472473924743733,0.031350130788545774,15,0.1423793597706641,0.2513321492007104,0.16099716404657277,0.01736112375633401,0.08915725769324655,0.17736361549110333,0.21208586300377133,pp,pct_blocked_by_pp
8,0.06335196059446138,0.013448228719475094,15,0.0353559483994266,0.0902360018509949,0.21227801939015004,0.007447380831584803,0.11755564881816614,0.05590457976287658,0.07079934142604619,pp,pct_blocked_by_pp
9,0.11847676350524906,0.02736911233573165,15,0.0814313891236968,0.1760259179265658,0.23100827137735808,0.01515650922053732,0.12792811663753642,0.10332025428471174,0.13363327272578637,pp,pct_blocked_by_pp
10,0.07419110780236972,0.019124940647544216,15,0.0473372781065088,0.1150107991360691,0.25777941877467625,0.01059103911412931,0.14275348391267753,0.0636000686882404,0.08478214691649903,pp,pct_blocked_by_pp
11,0.12866214514525287,0.02751033206970396,15,0.0873485488870104,0.1806155507559395,0.21381838487650137,0.015234714102515855,0.11840867479177077,0.11342743104273702,0.14389685924776874,pp,pct_blocked_by_pp
12,0.08139011085382787,0.019409556866613893,15,0.050436742744435,0.120950323974082,0.23847561654600005,0.010748654322680016,0.13206339455642227,0.07064145653114785,0.09213876517650789,pp,pct_blocked_by_pp
13,0.13086927271638568,0.027554101975899338,15,0.091011552550014,0.1852051835853131,0.21054676475213105,0.015258953068642871,0.11659691195588306,0.1156103196477428,0.14612822578502854,pp,pct_blocked_by_pp
14,0.08329010820878367,0.019326273313977863,15,0.05156382079459,0.1214902807775377,0.2320356369994455,0.010702533428514256,0.1284970527554865,0.07258757478026942,0.09399264163729792,pp,pct_blocked_by_pp
